NEW_ID,SPECIES,LOG_DP
22,均质油藏,".329782898076687,.253128398819969,.248022163560525,.242731481476873,.236895083006749,.230846420621367,.224268378301075,.217377713706691,.210236526169605,.203590313278943,.197572670108589,.192335439211931,.188027201904521,.36531811762172,.363273621334635,.361234694272113,.359177442095714,.357034111515751,.354798928156603,.352545207250643,.350108017397151,.184804614977227,.182747759601552,.182000607669195,.182497296331393,.184292298549321,.186928936343555,.190572565994638,.195083855715282,.199764022562412,.204240080078418,.208034208914634,.210675554977413,.211815606683479,.210986091201937,.208021085928908,.20254228195684,.194545489335449,.183795560057969,.170389164662052,.15424826155299,.135507102712191,.114225820644637,.0905321220297219,.0645856958448043,.0364870062703011,.0064515681884324,-.0254503882578951,-.0589853636457751,-.0941069261395402,-.130590385303509,-.168403820469658,-.207347002019146,-.247394084328651,-.28837642631691,-.330268044498547,-.372933628885719,-.4163431151587,-.460393357383689,-.505048063251189,-.550233724675415,-.595906920851354,-.642020727620523,-.688524490055334,-.735394694349331,.327974193836401,.326229924209668,.414048912119758,.413090841289732,.412092599733807,.411068117208913,.409992735366464,.408897023930813,.407739994573661,.406559030748468,.405298068198761,.404015538172747,.402678562932929,.401236210162822,.400163229846011,.398997270706273,.397787242944919,.396600311287492,.39529741052387,.394023506841586,.392615404537367,.391243402307568,.389715480673352,.388231742345707,.386692111784556,.384955705139426,.383279622413509,-.782573816244596,-.83005865937476,-.877785446807376,-.925768394387528,-.973918754160652,-1.02330105368449,-1.07920911434754,-1.14409907509799,-1.22070604442922,-1.31424305508754,-1.43394700550432,-1.59787096813852,-2.01157894424697,.324434215633134,.322464331749549,.320554303188767,.318464353326494,.316427848088754,.314325626519644,.312033245519337,.309884701462356,.307493735845798,.304950306481487,.302500878696257,.299902072373186,.297070998074391,.294322434152602,.291381278252086,.288254496719386,.285055123736086,.281788843284321,.278286885392302,.274551601860547,.270685508569838,.266712116189573,.262353393613325,.25782591341527,.381375040616489,.37954080520171,.378152713077951,.376903779446654,.375419824029793,.374012357678789,.372300308364169,.37052989686138,.368901340456957,.366999570462692,.347557331027385,.344915881447214,.34217855205121,.339236500262366,.336214377234604,.333144377602008,.331430370741947"
23,均质油藏,".457564695301913,.782762927398884,.775822902120564,.765289389968983,.751137131174786,.733742402514546,.713211074114049,.689846147592292,.663879507122328,.635242936764678,.604606495743898,.571977240257903,.537534606571412,.501591573958773,.464168550968322,.425541612227992,.385713211326722,.344913736707861,.303141690701946,.260581214842425,.217235301566078,.173245203223076,.128622833463864,.0834712446639571,.0378131204202054,-.00828187372645152,-.0547799717803232,-.101640385258148,-.148818805353557,-.196299213626912,-.244027727291424,-.292009397672219,.564098061882019,.571046313388059,.578288165631568,.585788901813555,-.340181911827905,-.388568088610017,-.437098353988233,-.485810382935104,-.534628449843167,-.583602554452509,-.632651825604718,-.681836417373778,-.731071197372051,-.780424636650315,-.829808101739188,-.879296842350178,-.928799366526695,-.978396426488205,-1.02799420815261,-1.07767791551045,-1.12735185566774,-1.17710482447541,-1.22683961383477,-1.2766479111477,-1.32640996791634,-1.37728477067128,-1.43463746764746,-1.50104079104215,-1.57911714848486,-1.67411703709758,-1.7952863894371,-1.96063361959657,-2.3784825228745,.457618910694331,.457818217174486,.457929278326277,.458220763946531,.458412331736004,.458828038975226,.459326951190847,.459638017696091,.460292082672438,.460745023842358,.461625507983444,.462040563917421,.462900614402299,.463422856177237,.464286109087589,.464760124663529,.465298257137179,.46636439351667,.467062494004969,.468535833605125,.469425237929742,.470695527818072,.472246479934588,.473970516330368,.47587817429442,.478131236046101,.480470325395867,.483108245782872,.486142730646981,.489633750685723,.493401674193113,.497896686714486,.503384976898053,.505966712917773,.50909347252215,.512053045499919,.515596369541195,.519348539995742,.522944799849714,.527148980719237,.531259921107656,.535989317732471,.541076414956452,.546169372686813,.552163960235278,.602583774582985,.611614254562773,.62113836010134,.631146814614454,.641515373849476,.652646306977774,.664182972255819,.675993239741649,.688504665255192,.701015282188253,.713498603445616,.726407219206014,.738597368014854,.751267093454519,.76226463847365,.772537409075144,.780218267522315,.784983758640059,.785712545245204,.558000645814913,.593987704480894,.458023371777722,.457926176381889,.457825032873247,.457738243865358,.457641717264161,.457544901535717,.457416700342144,.457344817824105,.457261534817682,.457253248385163,.457296789406745,.457296493663781,.457387889969137,.457411265442146,.457426414526856"
24,均质油藏,".259886279610319,.247978844819788,.241248131154264,.234027468104378,.226254157805494,.218646539019391,.211203399808323,.203968556391634,.196918760263062,.190063859421307,.183333657766217,.176704644959605,.170057597099386,.16331559762224,.156424628581162,.149102149508098,.141236275410219,.132641847018558,.123109110217637,.112498019645506,.100590753993508,.0872948137383187,.0724199514521545,.0559253195772294,.0376775959963651,.0176779538815182,-.00413393553773206,-.0277311907760323,-.0531002740677395,-.0802043009752039,-.108967471275307,-.139353617333059,-.171243413607325,-.204606187582441,-.239299375564809,-.275297936876416,-.312453821072411,-.350745167601159,-.390031676101231,-.430291404834681,-.471400315190415,-.513333425364229,-.555987543799692,-.599332479102065,-.643287654234962,-.687816362566226,-.732860590154668,-.778376545089085,-.824327646348924,-.870662991507288,-.917365715591977,-.964378143278152,-1.01170113287147,-1.05927078965307,-1.10710362088522,-1.15513017338735,-1.20338056996726,-1.25176076733848,-1.30135248328277,-1.35745620263956,-1.42254967915912,-1.49934608680441,-1.59306523351412,-1.71294600613581,-1.87703488612242,-2.29119836549411,.3887860817768,.254080664683207,.421856777165443,.420979323918557,.420065161546193,.419126346765325,.418141215256987,.417137980129395,.416079946244201,.414997646284328,.413841977369447,.412663710993772,.411433313514453,.410107415911898,.409118567739987,.408046204797831,.406933749167245,.405839397375935,.404640664469639,.403464720647522,.402167886835802,.400899682450447,.399490702900682,.398117213934661,.396690973216065,.395087990063359,.393533743680129,.391773577748794,.390070296289708,.387622053260684,.386247946032358,.384939650922885,.383359683975002,.381724833906595,.380211654579614,.378452770253138,.376884439211605,.37499166671773,.373099261227874,.37118466145541,.369188560044277,.367105781848413,.365000310572751,.362725733120217,.360342776027205,.357871310586356,.355306274274435,.352550021733237,.349711607532596,.34681971102136,.345209215906177,.3436553546612,.341953514978275,.340306135263227,.33860905064748,.336751730658405,.334944182728551,.332970527827655,.331040398359375,.329045879228418,.326874798768916,.32482811543322,.322557736186893,.320142995043109,.317805796932594,.315326047510176,.312628368824758,.309996317327947,.307181207991153,.304187519835611,.301116534842179,.297971448427642,.294598179952842,.290997686729334,.287260502927517,.283403294722375,.27917377254076,.274758968914843,.270154603158586,.265136473396552"
25,均质油藏,".428449548700682,.417065410336208,.418859800014213,.421097008754597,.423819710135624,.426775290451148,.43004886318339,.433957302537339,.43859038095698,.443563979097899,.449316962536923,.456079905420814,.463525001383905,.471957902071605,.481386357943515,.491937026199354,.50326810917534,.515599879536584,.52804374983074,.539077825004382,.548248538165026,.555081055711786,.559367069735309,.560722482663327,.55915853970061,.554392385806264,.546585683076525,.535584088006384,.522195769354188,.00458711951324387,-.0387130342713049,-.0826592257579196,-.127225771463796,-.172326795518176,-.217927788438096,-.263972084930429,-.310416211165016,-.357229100906377,-.404358782180349,-.451796347368792,-.499482106485397,-.547426120372161,-.59556189250124,-.643915554658419,-.692414735033841,-.741099053899083,-.789891150078024,-.838841870707273,-.887869671113857,-.93703467568465,-.986251867051378,-1.0355889890359,-1.08495816463986,-1.13443336359369,-1.1839243692135,-1.23351021687865,-1.28307769634353,-1.33377073561826,-1.39095225451366,-1.45716922420613,-1.53507024357541,-1.62989718961512,-1.7508914360698,-1.91606786252838,-2.33342747031058,.427760965934842,.427126877574823,.426397971816445,.425735300692446,.42506197256335,.424258564970649,.423550824447041,.422696233468256,.421957796523704,.421354980857473,.420902912748103,.42027656112063,.419745511670253,.418998066498627,.418237480318756,.417643941112365,.416857671259013,.416323796538718,.415511434339466,.41477725861277,.414094282264645,.413409481988545,.412722715847048,.412093342141348,.411403271526618,.410729342111864,.410103597379341,.409539164795022,.408955393712596,.40850551435508,.408283287331679,.40805068135751,.407985354077238,.407806874180806,.407820491245274,.407883064601727,.505554419331961,.485617036650853,.463041245051717,.438016909971402,.41067710803223,.381272305139013,.349885210352281,.316784950275701,.282017172795367,.245839609357441,.208275826321652,.169554734022315,.129690351564323,.0888751838604822,.0471225418224018,.407811020638761,.407971671806141,.408001579390437,.408288539161255,.408667805588356,.408928630570584,.409592886900286,.410138000809084,.410670599269067,.4116752901269,.4127847341827,.413814834789511,.415405582310174,.438819848865338,.438297250829788,.437753481295752,.437200146961634,.436618891721601,.436026298473271,.435394910564274,.434765610599082,.434094741119475,.433431189932249,.43275361418825,.432014835962306,.431484702531679,.430894662366613,.430281353404807,.429705025479194,.429055029953378"
26,均质油藏,".389834171064374,-1.05814411862269,-1.10683812440693,-1.15563613504868,.296228819483303,.293681773688622,.2911349995961,.288982750852321,.287201006348647,.286050589292075,.285393238086835,.285219749112131,.285301523152864,.285518097531517,.285566670167158,.285233121347077,.284208465434719,.282203844296519,.279506927508132,.275030279842572,.268584735207594,.260247618251026,.249761362633127,.237130419541386,.222196720762298,.205022165070903,.185560295924488,.163895250888566,.140081922520744,.114200988476871,.0863835440827965,.0566939956285354,.0253090425768981,.410109340153172,.409058972376298,.407897324980533,.406768242288494,.405510071287946,.404291737023807,.403029109221655,.401603085675175,.400231811592987,.398671339439586,.397175056346074,.396040501578144,.395026154640211,.393815645803381,.39267261449878,-1.71833822688416,-1.88301718287366,-2.29892087473351,-.00772539060244225,-.0422152215382365,-.078129006688515,-.115276773989698,-.15363531195754,-.193032573259843,-.233447600533265,-1.20459157210065,-1.2536012389842,-1.30377779187342,-1.36045696993204,-1.42615004100708,-1.50353942333455,-1.59785560831827,.388515497454862,.386970168523222,.385615717819695,.383958932824523,.382313160069773,.380657771072271,.378936380815245,.377144689435945,.375344140247757,.373398280864646,.371367328540147,.369271509456814,.367108101065312,.364787503370753,.362417695416942,.360030381971981,.358691420790221,.357416576183774,.356010776251898,.354669563608456,.353293821019318,.351775818980891,.350322642079737,.348723305215323,.34718631907197,.345607936738948,.343877073511169,.342288121164298,.340509018625508,.338615324390466,.336834587867443,.334953824098089,.332892600761259,.33094846596485,.328867009298485,.326663263921266,.324454234768286,.322252825192684,.319910932386043,.317430411271746,.314935864417996,.312468986816766,.309769452107666,.307089293832922,.304465831733793,.301688286464842,.299042694403684,-.274733598128301,-.316867277328996,-.359729870460623,-.403292767139046,-.447465223841607,-.492211676996552,-.537467886236704,-.583190701237439,-.629340122744652,-.67586544394303,-.722748342653008,-.769930990163342,-.81741411921279,-.865133433414222,-.913106180208068,-.961262344664402,-1.00963331413476,.425667884537235,.424869519927204,.42403796718948,.423185045539278,.422290022058006,.421378427005028,.420415906024821,.419434562324037,.418387146601835,.417323191292893,.416215223732197,.415020012490235,.414132358334779,.413167323092469,.412166122450209,.41118591121149,.391276357053749"
27,均质油藏,".369217106517399,.397821017938088,-1.14408549547419,-1.18413475479392,-1.23007517797837,-1.2839630385126,-1.34860047528436,-1.4288811417339,-1.53369196239419,-1.68094462048593,-2.0419894227228,-.178102638676167,-.198685214355406,-.219726346545331,-.241237046578212,-.263223528254299,-.285696861893559,-.308664308469601,-.332136998444575,-.35612307741201,-.380633624341833,-.405677322102534,-.431264992112896,-.457405351989153,-.484108692001773,-.511383158584091,-.539238199283318,-.567680748504415,-.596719088017175,.34424360613425,.341658165173987,.338862399350748,.335927881281678,.332877445250975,.329703694272682,.326287569076208,.322757672144016,.319145553534446,.317135927400944,.315188522170378,.313058072558397,.310985940154971,.308847108022022,.306509690864849,.304222640666347,.301728599010227,.299275627136536,.296734040613616,.293970141996639,.291343326716419,-.626358341192221,-.65660530828684,-.687462818933213,-.718935892330129,-.751024759868299,-.783732375640072,-.817056287607669,-.850997108740439,-.885549853784437,-.920712516431611,-.956477955005952,-.992841254952063,-1.02979369196173,-1.06732713946523,-1.10543201764326,.367555272337962,.365969160665656,.364056489234885,.362075515399328,.360236242023419,.358100779963255,.356188423968274,.3538853934126,.35157751810043,.349238137460431,.346795752852901,.288433349522204,.285335290733567,.282310118460461,.279092484743907,.275593765918902,.272145827062306,.268453322843498,.264515698721265,.260446576149191,.256244617086647,.251720344435619,.246871946822213,.24179235560192,.23648813057004,.230653231645922,.224481557527336,.217945938520817,.210757433341976,.203080195995651,.194497225422913,.185224743470042,.17478040241243,.163174561604794,.15021512570446,.136983539974869,.123465465187862,.109669508754961,.0955853427795307,.0812039862527913,.0665102230776437,.051497126570546,.036148142430724,.0204551525307102,.00423968311353372,-.0122579702561521,-.029056064902717,-.046244110305375,-.0638262296936702,-.0818152740828749,-.10021504893609,-.119037495878384,-.138286502504621,-.157973425164962,.41022988769883,.409187521469223,.408101155947418,.406984999300883,.405813345144102,.404619638849713,.403360315779983,.402071255938086,.400694238490832,.399289212223518,.396238299691703,.39505676874106,.393775357456089,.392445498036509,.391135864966021,.389701216705875,.388292153635288,.38673808097799,.385216217810643,.383525273304621,.381874307166995,.380158340056206,.378230156575217,.376356695557355,.374235418144416,.372177775569239,.370627084946228"
28,均质油藏,".362207782849434,.408649290761203,.407649346507805,.406677518216063,.405605264628772,.404567922182404,.403414985813192,.402304876079739,.401061477689055,.399869559882934,.398637452482321,.397234740735902,.395902270604789,.394373949228835,.392927940435069,.391821579563132,.390852367352747,.389676115946342,.388577596575822,.387211650588877,-.647237022113498,-.695789182921312,-.744523062374431,-.79336138624588,-.842354814054986,-.891422391455756,.333708090008188,.332206287742403,.330631876386922,.329180607911537,.327897172148482,.326591767211908,.325220326793836,.324073876867067,.323298335774375,.322431687097713,.32210083903174,.322443423930815,.323138323978122,.325057316424899,.327563787766203,.332132554190335,.338412286453296,.347884530341436,.360647878121743,.375908557341091,.392964690968436,.411666188750808,.431027529853275,.450594957641677,.46937580045039,.486801586106663,.502164206018238,.514883220916504,.525888562254748,-.940623703051241,-.989854060703712,-1.04023455775082,-1.09711774356974,-1.16301826118678,-1.24061682072424,-1.3351447116686,-1.45583924894898,-1.62072529569118,-2.03724746103548,.360054332722968,.357918852416669,.356706977061486,.355574598811691,.354312581600902,.353135105169567,.351936500579995,.350593075884086,.349344288554128,.347946196217566,.346646960179535,.345326524543758,.343851288112676,.342561780339686,.34109608830568,.339525583502303,.33814614036516,.336709649807789,.335088543868066,.532835993251658,.535643734929047,.534868055045378,.530260074895733,.522099728730582,.51034241347955,.495275867843096,.477026212605742,.455829088886471,.431925462476901,.405481327967182,.376793545760226,.345966324448183,.313304755055124,.278869131202104,.242942006738137,.205557934215861,.166961486862982,.127175707127892,.0864022736474143,.0446622549787341,.00211531007528337,-.0412138132359533,-.0852040614712129,-.129824074071859,-.174987185115854,-.220654217984619,-.266768622527265,-.31328323469258,-.360167564106725,-.407366867457668,-.454872963989645,-.502624235811368,-.550631405117732,-.59882680623238,.418715506947901,.417810146168915,.416887342714744,.415910633448459,.414920159263176,.413863562401477,.412796667460473,.411690571191838,.410494903340496,.409612648260499,.421229294161189,.420420381981926,.419577973212711,.385804077547103,.384539212452772,.383039227678407,.381756543562507,.380155507070408,.378578635980446,.377005987308758,.3753759205849,.373684264786669,.371997618029602,.370172296290325,.368276375735452,.366332837004803,.364340829821223"
29,均质油藏,".321804102425225,.385606205347774,.384158039978334,.382852267170689,.381307302499522,.379979521713947,.378328844092395,.376700005481778,.375072723397495,.373384741162185,.371631706857442,.369881180227933,.367986979753508,.366017199709361,.363994680967004,.361917987468469,.35969286695629,.357439864611652,.355195605630407,.353926477909712,.352734167120729,.351409537241837,.350165249365655,.348895497370224,.347479514693123,.34615079937795,.344671673185357,.343281861809556,.341864496809158,.340291184231911,.338892943994109,.337311356862457,.335621138529626,.334100410052103,.332508700438284,.467294276657872,.480508612988074,.492285211357365,.500373046830331,.504647650543562,.505503113147449,.50262565932932,.496250794764003,.48626869777193,.472955417885601,.456382916051293,.436794007244783,.414392706214275,.389359077023854,.361970636861001,.33234520290784,.3007825632914,.267353024248334,.232342950222798,.195792853692699,.157955901841401,.118857799050033,.0787106540087383,.0375359334825871,-.00449608762630025,-.0473616352519107,-.0909296331746394,-.135170425412314,-.179988226481534,-.22534587674944,.328772315237129,.338706652918708,.351116009508827,.365489962303021,.381776147479545,.399127832838023,.41717292013916,.434944508599367,.451911802733561,.403453563560611,.402272001821825,.401132428179694,.399857081906052,.398632300499589,.397365541395063,.395925354570514,.394554147027735,.392983564018758,.391493761793816,.390355755324125,.420491108111906,.419665588362392,.418805830548317,.417925306920212,.417001005676298,.416058966221434,.415062241164345,.414050541078105,.412971161590131,.411880138718784,.41074814002733,.409524835779661,.408621151022164,.407635084989941,.406611607812362,.405615608945372,.404517501603452,-.271178704352364,-.317441617846133,-.364097005897405,-.411092104450775,-.458412572676286,-.505998599281796,-.553855642560654,-.60191763581071,-.650206713429916,-.698651389568715,-.747287714801824,-.796039592955342,-.844954593237088,-.893952751366068,-.943091104529065,-.99226585344802,-1.04259504391314,-1.09942828723319,-1.16527713409216,-1.24282517060149,-1.33730272269551,-1.45794709451737,-1.62278459348453,-2.03916485389605,.38935491004268,.388144094598711,.387010863928202,.330731473142744,.32916013488666,.327459989453963,.325671718272946,.323968748685044,.322388381089962,.320751809980302,.319024589941109,.317453391969353,.316161571769256,.314735205963186,.313715482875532,.31320970084189,.31293260815982,.313640880053103,.31475451124224,.31756841078761"
30,均质油藏,".289061901830963,.156390255565108,.147706449852843,.137990375972748,.127523943084888,.115730487609421,.102654370854068,.0880631610344297,.0731737400435248,.0579649848230817,.0424449123117699,.0265976724356316,.0104089725032901,-.00614363502268556,-.0230729098195019,-.0404032130133472,-.0581498998604232,-.0765374349390691,-.09527858138615,-.114395362437437,-.134004863648918,-.154118879404743,-.174756706572638,-.195929141601434,-.217653623919446,-.23993972430113,-.262802999652664,-.286251528314231,-.310298959434547,-.334951558585035,-.360221024858873,-.386111458452488,-.412632547020196,-.439785887563259,-.467579080349813,-.496010955728777,-.525086940783752,-.554802968572526,-.585162198781489,-.680050450826204,-.712936449644809,-.746436639199738,-.780546681694377,-.815253403845621,-.85054967478571,-.886421582833451,-.922859025029951,-.959848213345658,-.997375882014117,-1.03542926281625,-1.07399173456141,-1.11305242800378,-1.15259118339184,-1.19259984953252,-1.233054565701,-1.27395062526324,-1.31526033454312,-1.35698304423886,-1.39907298573395,-1.44245459442918,-1.49189619032014,-1.54957576379643,-1.61822430583272,-1.70277849669751,-1.81211684913831,.284934658360215,.280729538287132,.278379099023973,.276115038640406,.273627365201856,.271221698230304,.268740213400807,.389034313712109,.387771531677659,.386455072966961,.385104158098245,.383684967879032,.382237369686166,.380706119676074,.379145361005299,.377478058653754,.375784714833269,.374021034214943,.372115305662783,.370699477555444,.369157651027067,.367556093685575,.365987454228194,.364261679775587,.362577334445529,.360710942987887,.358895820604552,.356869309223325,.354904919228152,.352865492060648,.350558116166854,.348334799890848,.345800386923478,.343363560037129,.341513672770884,.339854622324448,.337874621322141,.335997547542425,-1.96393868298421,-2.337281335165,.266017037300923,.263367036959623,.260466389089017,.257628216612143,.254690885046145,.251486420158784,.248467106034791,.245103108156754,.241519066883724,.238043034372498,.234342647624719,.230308987882521,.22635809787396,.222122048358504,.217602702379119,.212943260232528,.208145473118417,.202974949683801,.197435104722057,.191643205859588,.185612022654354,.178966193085896,.171951496905878,.16454286447285,-.616157714860315,-.647790304105321,.333702127293726,.331327019858017,.32914659258758,.326592701126894,.32434068995104,.321589927439647,.318845115212552,.316076206188169,.313188076636029,.31017197769879,.307130010296319,.303832894772112,.300377042538385,.296792664184042,.293071415799684"
31,均质油藏,".387910135816113,-.0441087154155659,-.0626299784807602,-.0816504513407675,-.10118830877925,-.121252991424396,-.141861251929615,-.163021666426197,-.184749559667168,-.2070524916092,-.229944337520335,-.253431398439714,-.277526044415574,-.302232989621936,-.327563008592587,-.353518852100259,-.380109583694235,-.407335623118144,-.435204193913114,-.463713092039057,-.492867567011386,-.522662634871393,-.553101435163613,-.584176231123952,-.615887912390707,-.648226224043841,-.681189656946718,-.714765879523218,-.748950821165995,-.783730698146912,-.819098699634453,-.855040355731952,-.891545922341338,-.92860109877773,-.966193006347487,-1.00430840343776,-1.04293107633399,-1.0820497154562,-1.12164458338956,-1.16170711550216,-1.20221388452593,-1.24315979123528,-1.28450406486644,-1.32715189502098,-1.37580901404395,-1.43261747636135,-1.50031215718918,-1.58379670319747,-1.69190747114493,-1.84230388753351,.328718146045075,.325258406876931,.321681633312039,.318019353793201,.315982332452256,.314007091616067,.311846755351646,-2.21111448407438,.181209588171806,.170437131623615,.158442987131274,.145022994129053,.131290590554799,.117228163525338,.102840542100645,.386343537517454,.384808647082276,.383103616249039,.381438016778501,.379706573396224,.377761694009681,.375870822055042,.373730566091876,.309744153113292,.307573421084647,.305201756379648,.302879604999307,.300347835304502,.297856039007526,.295273470867576,.292465443769149,.289793933977816,.286835401455209,.283685306676867,.280606346210762,.277330904683722,.273769512540747,.270256338840218,.266493482969709,.262479832974095,.25832946003223,.254040494343022,.249421177103029,.244468939443514,.239276618064969,.233849768523663,.227878243439845,.22155603280812,.214853673175235,.207476782696605,.199587912225244,.190761178161829,.371653102032734,.370088091362544,.368663687841636,.366986122230326,.365384077216133,.363453790999543,.361454271491511,.359596170825233,.357439984335159,.355506804169954,.353180734414458,.350848757027497,.348483924296032,.346014494820101,.343433624154274,.340817951205809,.337989514001908,.335019926997458,.331932007180553,.08811353253266,.0730334957403284,.0575808546770559,.0417434233510767,.0254998310219718,.00883616610580349,-.00843677612530284,-.0260764484422087,.410008447107877,.408959172034634,.407865578231196,.406741868035913,.405562284048435,.404360517147654,.403092821401596,.401794805963498,.40040815604754,.398992839589942,.397513527969466,.395918951386625,.394728150739127,.393436942264183,.392096916848993,.390776755190291,.389330871228427"
32,均质油藏,".395623227522272,.421618448527502,.420766662788143,.419858883898951,.418948887657653,.418010742343706,.416994448379544,.416250707262755,.415434445756111,.414586982535493,.413771122510817,-.352039277653446,-.40010308634942,-.448393992897317,-.496841983470525,-.545481384066842,-.594237239007372,-.643155852582994,-.692158129687215,-.741300194842778,-.790499522867789,-.839820244149588,-.889177015079677,-.938640462907246,-.98810198316159,-1.0386957060555,-1.09578595043171,-1.16190093245561,-1.23970864338943,-1.33444462297016,-1.45534640124901,-1.62043279237202,-2.03753980059949,.367909467182281,.367518400217402,.366984310671441,.366358304701715,.366185716257847,.366079619372752,.365762526210682,.366073995311134,.366329191317647,.366641493777874,.36745889051418,.368876919460965,.370551473904462,.37239911696543,.375107999273252,.378959102074615,.358941807180439,.32002220456009,.280023309013017,.238962494615319,.197025572587564,.154231640039497,.110723591236194,.0665265598784397,.0217453668002294,-.0235868741016805,-.0693985550252608,-.115648046978434,-.162292414502904,-.209281771531493,-.256597707742465,-.304182752883747,.394408232403533,.39341658372832,.392129876133122,.390886157292793,.389664363094193,.388407213136729,.387112030065926,.385835988358146,.384453807528872,.383035769027619,.38160799526924,.380175668544675,.378654448279985,.377175245230433,.375807214756071,.374980881268553,.374274579710813,.373440714338577,.372750299995534,.372079056159403,.383061180330526,.388651959323135,.396114832098665,.404718096236973,.415907755938493,.428767436801586,.445359586615028,.464566179987638,.488309624151712,.51528622176144,.542875206687825,.56971943304387,.59528212288273,.618569497548286,.639000364003814,.656079019976734,.669302707791505,.678631535532833,.683678609488037,.68601948074594,.683483771366158,.676130236527497,.665033385718304,.650286173345695,.632212272168072,.611048635787622,.587026443085226,.560461609659749,.531499731452372,.500478126711608,.467479178133996,.432821901523475,.396549602807564,.371246759175414,.370604406164652,.369791578324494,.369196805444147,.368642307354119,.426214465085415,.425514564907656,.424786010782565,.42404183451991,.423260579476694,.422463797079761,.412865960970364,.411999426508071,.411030884039677,.410109296183138,.409070896125806,.408088757467794,.407077881784269,.405914710782172,.404829445515376,.40357043657387,.40240378483712,.401498583586564,.400731491784093,.399774640678181,.398896224278595,.39777645796522,.396626669294878"
33,均质油藏,".416269152957958,-.912145253017572,.414573552968473,.413641692613164,.412769088368594,.411874262029175,.410835295112496,.409880409633213,.40876106640166,.407742893555687,.406942190028035,.406284833404446,.405442301303935,.404682072305967,.403690740467445,.402675411430321,.401814665887795,.400748461415536,.399920493986845,.398798944689584,.397737016188308,.396708945466098,.395659306405966,.394586663766769,.393543294419105,.392411848410085,.39126753497994,.390141027699021,.389043130749516,.407864227360481,.414460685473976,.421473803353578,.430264909672462,.441298971469302,.453661868555658,.468740496585446,.485710851454096,.506283527971057,.529160500469849,.555954488140181,.584919268760662,.613065084049151,.639217547359685,.662811534685335,.683192872746469,.69984195737681,.712595580638302,.721045052460353,.725383212246015,.725339828532049,.722445685672118,.714891939383391,.702741808480711,.687072847562011,.668082292916069,-.961687880330234,-1.01121900295034,-1.06187702022012,-1.11902923624358,-1.18520895962075,-1.26307926786855,-1.35787733097261,-1.4788410336246,-1.64398728083582,-2.06126817286128,.41539682994336,.38788950324204,.386829042231409,.385964477754663,.385377528941944,.384955645739173,.384394120029013,.384035269549978,.383725705165908,.383230119115393,.383008990520512,.382590795390205,.382491133668509,.382480487809114,.382265903453853,.382537731790351,.382668024576676,.382714758452511,.383416958910609,.384262442934787,.384883310442723,.386392866559748,.387902838768027,.389552259245003,.391937673215233,.395163529981931,.398778546910504,.402732681995203,.646043903074712,.621257791413275,.593902134515216,.564317369624129,.532606588395327,.499103356394003,.4638616088261,.42718028199253,.389086591961878,.349833085115788,.309436312532932,.268100662460227,.225842088411144,.182819907586239,.13905509711657,.0946667007319547,.0496834334077358,.00418910001515936,-.0417788891483122,-.0881672168703687,-.134929823304964,-.182039534512594,-.22944222513458,-.277132937885365,-.325050323059036,-.373208128273239,-.421538709230219,-.470071420075027,-.518733241389687,-.567566441785271,-.616493481177788,-.665567238697593,-.71470641651498,-.763972559139873,-.813281273544782,-.862701146273303,.429187852623415,.428546536226166,.42787913435072,.427198306484852,.426483521671039,.425754351483056,.424979688763165,.424202004332478,.423373535385372,.422546641294764,.421697017437317,.420775169462148,.420104280646828,.419365268801799,.418597894760424,.41786405443173,.417046406572105"
